,ID GS1,Clacom,Nombre Clacom,Nombre GS1,
,10002602,313020103,MEZCLADORA LAVATORIO/LAVABO 8 PULGADA, Grifos/llaves,
,10002602,313020104,MEZCLADORA LAVATORIO/LAVABO MONOBLOCK, Grifos/llaves,
,10002602,313020105,MONOMANDOS LAVATORIOS/LAVABOS BAJOS, Grifos/llaves,
,10002602,313020106,MONOMANDOS LAVATORIOS/LAVABOS ALTOS, Grifos/llaves,
,10002602,313020107,LLAVE DE PASO, Grifos/llaves,
,10002602,313020108,SENCILLA/LLAVE DE DUCHA/REGADERA, Grifos/llaves,
,10002602,313020109,MEZCLADORA DE DUCHA/REGADERA, Grifos/llaves,
,10002602,313020110,MEZCLADORA DE DUCHA/REGADERA TINA, Grifos/llaves,
,10002602,313020111,MONOMANDOS DE DUCHA/REGADERA, Grifos/llaves,
,10002602,313020112,MONOMANDOS DE DUCHA/REGADERA , Grifos/llaves,
,10002602,313020113,MEZCLADORA BIDET, Grifos/llaves,
,10002602,313020114,MONOMANDO BIDET, Grifos/llaves,
,,3130203,GRIFERIA INSTITUCIONAL,,
,10002602,313020301,GRIFERIA INSTITUCIONAL, Grifos/llaves,
,,3130204,ACCESORIOS DE DUCHA,,
,10002608,313020401,REGADERAS/CABEZALES/PLATO DE DUCHA, Alcachofas de ducha,
,10002612,313020402,BRAZO, Productos de higiene – Accesorios/recambios,
,10002608,313020403,KIT CABEZALES/PLATO DE DUCHA, Alcachofas de ducha,
,10002608,313020404,TELEDUCHAS/DUCHADORES/MANERALES/REGADERA TELEFONO, Alcachofas de ducha,
,10002612,313020405,FLEXIBLES, Productos de higiene – Accesorios/recambios,
,10006961,313020406,SOPORTE DUCHA/REGADERA, Accesorios de baño,
,10002614,313020407,KIT TELEDUCHAS/DUCHADORES/MANERALES/REGADERA TELEF, Paquetes variados de productos de higiene,
,10002612,313020408,CONECTORES, Productos de higiene – Accesorios/recambios,
,10002612,313020409,BARRA DE DUCHAS/REGADERAS, Productos de higiene – Accesorios/recambios,
,10002608,313020410,DUCHA/REGADERA BIDET, Alcachofas de ducha,
,10007017,313020411,OTROS ACCESORIOS, Repuestos / Accesorios de Inodoro / Bidet,
,,31304,ESPEJOS Y GABINETES/BOTIQUINES,,
,,3130401,BOTIQUINES Y GABINETES,,
,10003790,313040101,GABINETES/BOTIQUINES AGLOMERADOS, Otros tipos de mobiliario de exposición/almacenamiento para oficinas/uso doméstico,
,10003790,313040102,GABINETES/BOTIQUINES METALICOS, Otros tipos de mobiliario de exposición/almacenamiento para oficinas/uso doméstico,
,10003790,313040103,GABINETES/BOTIQUINES PLASTICOS, Otros tipos de mobiliario de exposición/almacenamiento para oficinas/uso doméstico,
,10003790,313040104,OTROS GABINETES/BOTIQUINES, Otros tipos de mobiliario de exposición/almacenamiento para oficinas/uso doméstico,
,10003790,313040105,GABINETES DE LUZ, Otros tipos de mobiliario de exposición/almacenamiento para oficinas/uso doméstico,
,,3130402,ESPEJOS,,
,10002245,313040201,ESPEJOS CON MARCO, Espejos,
,10002245,313040202,ESPEJOS SIN MARCO, Espejos,
,10002245,313040203,ESPEJOS COSMETICOS/EXTENSIBLE, Espejos,
,10002245,313040204,ESPEJOS CON LUZ, Espejos,
,10002245,313040205,ESPEJOS CON REPISA, Espejos,
,10002248,313040206,OTROS ESPEJOS, Otros marcos/espejos/fotos,
,,31305,MUEBLES DE BANO,,
,,3130501,CUBIERTAS VANITORIOS,,
,10002592,313050101,CUBIERTAS VANITORIO MARMOL Y GRANITO, Lavabos/lavamanos,
,10002592,313050102,CUBIERTAS VANITORIO MARMOLINA/RESINA, Lavabos/lavamanos,
,10002592,313050103,CUBIERTAS LOZA, Lavabos/lavamanos,
,10002592,313050104,VANITORIOS/BACHA/OVALIN LOZA, Lavabos/lavamanos,
,10002592,313050105,VANITORIO/BACHA/OVALIN VIDRIO, Lavabos/lavamanos,
,10002592,313050106,VANITORIOS/BACHA/OVALIN MARMOL, Lavabos/lavamanos,
,10002592,313050107,VANITORIOS/BACHA/OVALIN METALICOS, Lavabos/lavamanos,
,,3130502,MUEBLES DE BANO Y VANITORIOS,,
,10002593,313050201,MUEBLE DE BANO/VANITORIO A PISO CON CUBIERTA 40 CM, Combinaciones de lavabo/base,
,10002593,313050202,MUEBLE DE BANO/VANITORIO A PISO CON CUBIERTA 60 CM, Combinaciones de lavabo/base,
,10002593,313050203,MUEBLE DE BANO/VANITORIO A PISO CON CUBIERTA 80 CM, Combinaciones de lavabo/base,
,10002593,313050204,MUEBLE DE BANO/VANITORIO A PISO CON CUBIERTA 100CM, Combinaciones de lavabo/base,
,10002593,313050205,MUEBLE BANO/VANITORIO A PISO C/CUBIERT SOBRE 100CM, Combinaciones de lavabo/base,
,10002609,313050206,MUEBLE DE BANO/VANITORIO A PISO SIN CUBIERTA, Pedestales para lavabo/lavamanos,
,10002593,313050207,MUEBLE VANITORIO DE COLGAR CON CUBIERTA 40 CM, Combinaciones de lavabo/base,
,10002593,313050208,MUEBLE VANITORIO DE COLGAR CON CUBIERTA 60 CM, Combinaciones de lavabo/base,
,10002593,313050209,MUEBLE VANITORIO DE COLGAR CON CUBIERTA 80 CM, Combinaciones de lavabo/base,
,10002593,313050210,MUEBLE VANITORIO DE COLGAR CON CUBIERTA 100 CM, Combinaciones de lavabo/base,
,10002593,313050211,MUEBLE VANITORIO DE COLGAR C/CUBIERTA SOBRE 100CM, Combinaciones de lavabo/base,
,10002609,313050212,MUEBLES VANITORIO DE COLGAR SIN CUBIERTA, Pedestales para lavabo/lavamanos,
